INDEX,DATE,RATE
RPI,1963-11-01,0.022
RPI,1963-12-01,0.019
RPI,1964-01-01,0.019
RPI,1964-02-01,0.012
RPI,1964-03-01,0.014
RPI,1964-04-01,0.02
RPI,1964-05-01,0.03
RPI,1964-06-01,0.034
RPI,1964-07-01,0.04
RPI,1964-08-01,0.047
RPI,1964-09-01,0.044
RPI,1964-10-01,0.041
RPI,1964-11-01,0.046
RPI,1964-12-01,0.048
RPI,1965-01-01,0.046
RPI,1965-02-01,0.045
RPI,1965-03-01,0.045
RPI,1965-04-01,0.056
RPI,1965-05-01,0.05
RPI,1965-06-01,0.049
RPI,1965-07-01,0.049
RPI,1965-08-01,0.047
RPI,1965-09-01,0.048
RPI,1965-10-01,0.048
RPI,1965-11-01,0.044
RPI,1965-12-01,0.045
RPI,1966-01-01,0.044
RPI,1966-02-01,0.045
RPI,1966-03-01,0.043
RPI,1966-04-01,0.036
RPI,1966-05-01,0.039
RPI,1966-06-01,0.039
RPI,1966-07-01,0.035
RPI,1966-08-01,0.039
RPI,1966-09-01,0.036
RPI,1966-10-01,0.038
RPI,1966-11-01,0.04
RPI,1966-12-01,0.037
RPI,1967-01-01,0.037
RPI,1967-02-01,0.037
RPI,1967-03-01,0.035
RPI,1967-04-01,0.03
RPI,1967-05-01,0.022
RPI,1967-06-01,0.024
RPI,1967-07-01,0.022
RPI,1967-08-01,0.014
RPI,1967-09-01,0.015
RPI,1967-10-01,0.02
RPI,1967-11-01,0.019
RPI,1967-12-01,0.025
RPI,1968-01-01,0.026
RPI,1968-02-01,0.03
RPI,1968-03-01,0.034
RPI,1968-04-01,0.044
RPI,1968-05-01,0.046
RPI,1968-06-01,0.046
RPI,1968-07-01,0.053
RPI,1968-08-01,0.057
RPI,1968-09-01,0.059
RPI,1968-10-01,0.056
RPI,1968-11-01,0.052
RPI,1968-12-01,0.059
RPI,1969-01-01,0.062
RPI,1969-02-01,0.062
RPI,1969-03-01,0.063
RPI,1969-04-01,0.055
RPI,1969-05-01,0.053
RPI,1969-06-01,0.053
RPI,1969-07-01,0.053
RPI,1969-08-01,0.049
RPI,1969-09-01,0.051
RPI,1969-10-01,0.054
RPI,1969-11-01,0.054
RPI,1969-12-01,0.047
RPI,1970-01-01,0.05
RPI,1970-02-01,0.049
RPI,1970-03-01,0.051
RPI,1970-04-01,0.056
RPI,1970-05-01,0.061
RPI,1970-06-01,0.059
RPI,1970-07-01,0.067
RPI,1970-08-01,0.068
RPI,1970-09-01,0.07
RPI,1970-10-01,0.074
RPI,1970-11-01,0.079
RPI,1970-12-01,0.079
RPI,1971-01-01,0.085
RPI,1971-02-01,0.085
RPI,1971-03-01,0.088
RPI,1971-04-01,0.094
RPI,1971-05-01,0.098
RPI,1971-06-01,0.103
RPI,1971-07-01,0.101
RPI,1971-08-01,0.103
RPI,1971-09-01,0.099
RPI,1971-10-01,0.094
RPI,1971-11-01,0.092
RPI,1971-12-01,0.09
RPI,1972-01-01,0.082
RPI,1972-02-01,0.081
RPI,1972-03-01,0.076
RPI,1972-04-01,0.063
RPI,1972-05-01,0.061
RPI,1972-06-01,0.061
RPI,1972-07-01,0.058
RPI,1972-08-01,0.066
RPI,1972-09-01,0.07
RPI,1972-10-01,0.079
RPI,1972-11-01,0.076
RPI,1972-12-01,0.077
RPI,1973-01-01,0.077
RPI,1973-02-01,0.079
RPI,1973-03-01,0.082
RPI,1973-04-01,0.092
RPI,1973-05-01,0.095
RPI,1973-06-01,0.093
RPI,1973-07-01,0.094
RPI,1973-08-01,0.089
RPI,1973-09-01,0.093
RPI,1973-10-01,0.099
RPI,1973-11-01,0.103
RPI,1973-12-01,0.106
RPI,1974-01-01,0.12
RPI,1974-02-01,0.132
RPI,1974-03-01,0.135
RPI,1974-04-01,0.152
RPI,1974-05-01,0.16
RPI,1974-06-01,0.165
RPI,1974-07-01,0.171
RPI,1974-08-01,0.169
RPI,1974-09-01,0.171
RPI,1974-10-01,0.171
RPI,1974-11-01,0.183
RPI,1974-12-01,0.191
RPI,1975-01-01,0.199
RPI,1975-02-01,0.199
RPI,1975-03-01,0.212
RPI,1975-04-01,0.217
RPI,1975-05-01,0.25
RPI,1975-06-01,0.261
RPI,1975-07-01,0.263
RPI,1975-08-01,0.269
RPI,1975-09-01,0.266
RPI,1975-10-01,0.259
RPI,1975-11-01,0.252
RPI,1975-12-01,0.249
RPI,1976-01-01,0.234
RPI,1976-02-01,0.229
RPI,1976-03-01,0.212
RPI,1976-04-01,0.189
RPI,1976-05-01,0.154
RPI,1976-06-01,0.138
RPI,1976-07-01,0.129
RPI,1976-08-01,0.138
RPI,1976-09-01,0.143
RPI,1976-10-01,0.147
RPI,1976-11-01,0.15
RPI,1976-12-01,0.151
RPI,1977-01-01,0.166
RPI,1977-02-01,0.162
RPI,1977-03-01,0.167
RPI,1977-04-01,0.175
RPI,1977-05-01,0.171
RPI,1977-06-01,0.177
RPI,1977-07-01,0.176
RPI,1977-08-01,0.165
RPI,1977-09-01,0.156
RPI,1977-10-01,0.141
RPI,1977-11-01,0.13
RPI,1977-12-01,0.121
RPI,1978-01-01,0.099
RPI,1978-02-01,0.095
RPI,1978-03-01,0.091
RPI,1978-04-01,0.079
RPI,1978-05-01,0.077
RPI,1978-06-01,0.074
RPI,1978-07-01,0.078
RPI,1978-08-01,0.08
RPI,1978-09-01,0.078
RPI,1978-10-01,0.078
RPI,1978-11-01,0.081
RPI,1978-12-01,0.084
RPI,1979-01-01,0.093
RPI,1979-02-01,0.096
RPI,1979-03-01,0.098
RPI,1979-04-01,0.101
RPI,1979-05-01,0.103
RPI,1979-06-01,0.114
RPI,1979-07-01,0.156
RPI,1979-08-01,0.158
RPI,1979-09-01,0.165
RPI,1979-10-01,0.172
RPI,1979-11-01,0.174
RPI,1979-12-01,0.172
RPI,1980-01-01,0.184
RPI,1980-02-01,0.191
RPI,1980-03-01,0.198
RPI,1980-04-01,0.218
RPI,1980-05-01,0.219
RPI,1980-06-01,0.21
RPI,1980-07-01,0.169
RPI,1980-08-01,0.163
RPI,1980-09-01,0.159
RPI,1980-10-01,0.154
RPI,1980-11-01,0.153
RPI,1980-12-01,0.151
RPI,1981-01-01,0.13
RPI,1981-02-01,0.125
RPI,1981-03-01,0.126
RPI,1981-04-01,0.12
RPI,1981-05-01,0.117
RPI,1981-06-01,0.113
RPI,1981-07-01,0.109
RPI,1981-08-01,0.115
RPI,1981-09-01,0.114
RPI,1981-10-01,0.117
RPI,1981-11-01,0.12
RPI,1981-12-01,0.12
RPI,1982-01-01,0.12
RPI,1982-02-01,0.11
RPI,1982-03-01,0.104
RPI,1982-04-01,0.094
RPI,1982-05-01,0.095
RPI,1982-06-01,0.092
RPI,1982-07-01,0.087
RPI,1982-08-01,0.08
RPI,1982-09-01,0.073
RPI,1982-10-01,0.068
RPI,1982-11-01,0.063
RPI,1982-12-01,0.054
RPI,1983-01-01,0.049
RPI,1983-02-01,0.053
RPI,1983-03-01,0.046
RPI,1983-04-01,0.04
RPI,1983-05-01,0.037
RPI,1983-06-01,0.037
RPI,1983-07-01,0.042
RPI,1983-08-01,0.046
RPI,1983-09-01,0.051
RPI,1983-10-01,0.05
RPI,1983-11-01,0.048
RPI,1983-12-01,0.053
RPI,1984-01-01,0.051
RPI,1984-02-01,0.051
RPI,1984-03-01,0.052
RPI,1984-04-01,0.052
RPI,1984-05-01,0.051
RPI,1984-06-01,0.051
RPI,1984-07-01,0.045
RPI,1984-08-01,0.05
RPI,1984-09-01,0.047
RPI,1984-10-01,0.05
RPI,1984-11-01,0.049
RPI,1984-12-01,0.046
RPI,1985-01-01,0.05
RPI,1985-02-01,0.054
RPI,1985-03-01,0.061
RPI,1985-04-01,0.069
RPI,1985-05-01,0.07
RPI,1985-06-01,0.07
RPI,1985-07-01,0.069
RPI,1985-08-01,0.062
RPI,1985-09-01,0.059
RPI,1985-10-01,0.054
RPI,1985-11-01,0.055
RPI,1985-12-01,0.057
RPI,1986-01-01,0.055
